Model,Crema-D,DementiaBank,Savee,Voxforge,Speech_commands,mask_challenge,ESC-50_HS,Voxceleb,Crema-D_N,DementiaBank_N,Savee_N,Voxforge_N,Speech_commands_N,mask_challenge_N,ESC-50_HS_N,Voxceleb_N,ModelPath,PerfLab_SessionID,MV3Size,Avg_Pool,Alpha,Compression,Quantized-Aware_Trained,Size(MB),Pixel4 CPU Latency(ms),Pixel4 GPU Latency(ms),Pixel1 CPU Latency(ms),Pixel1 GPU Latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 11,0.4203,0.6863,0.3833,0.5285,0.2174,0.5449,0.4848,0.0007,-0.558677089,0.036007846,-0.586234114,-0.441860839,-1.049070954,-0.184905466,-0.668662165,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_11.tflite,32209,small,FALSE,2,TRUE,TRUE,7.461639404,2.81551831,10.74750538,10.02772,23.60466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 12,0.6189,0.6765,0.5833,0.6347,0.5591,0.615,0.7576,0.2928,0.245727654,-0.003685842,0.223841156,-0.011710871,0.334942643,0.099025915,0.436280502,0.402503256,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_12.tflite,3371,small,TRUE,0.5,TRUE,FALSE,3.423362732,1.438648415,4.422123894,1.194700361,9.419214953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 13,0.5212,0.6569,0.425,0.5737,0.3763,0.5609,0.697,0.001,-0.149994115,-0.083073219,-0.41733342,-0.258783828,-0.405466153,-0.120099445,0.190827695,-0.779396561,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_13.tflite,3239,tiny,FALSE,2,FALSE,FALSE,61.26434326,9.628788462,8.544162393,14.13898592,49.04692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 14,0.4055,0.6765,0.3083,0.5285,0.1908,0.5478,0.4848,0.0007,-0.618622659,-0.003685842,-0.890012339,-0.441860839,-1.156810965,-0.173159375,-0.668662165,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_14.tflite,3381,small,TRUE,0.5,TRUE,TRUE,1.038650513,1.048580882,5.363272727,2.536561224,7.887433071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 15,0.5482,0.6765,0.45,0.5358,0.2683,0.5851,0.6212,0.0009,-0.040633954,-0.003685842,-0.316074011,-0.412293091,-0.842906798,-0.022080337,-0.116190832,-0.779801599,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_15.tflite,32192,small,TRUE,0.75,TRUE,FALSE,5.125991821,2.399894231,4.824618357,1.785032258,11.57289655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 16,0.4306,0.6863,0.4583,0.5285,0.156,0.5449,0.4697,0.0007,-0.516958212,0.036007846,-0.282455888,-0.441860839,-1.297764062,-0.184905466,-0.729822848,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_16.tflite,3365,small,TRUE,0.75,TRUE,TRUE,1.50579834,0.755547384,4.479058296,3.763501887,9.366084112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 17,0.6202,0.6765,0.5917,0.641,0.5405,0.6078,0.7273,0.2879,0.250993143,-0.003685842,0.257864317,0.0138065,0.259605643,0.069863206,0.313554099,0.382656412,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_17.tflite,3372,small,TRUE,1,TRUE,FALSE,7.033195496,1.020415984,5.357566845,4.629773148,10.33971134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 18,0.4364,0.6765,0.4,0.5321,0.202,0.5449,0.5,0.0007,-0.49346603,-0.003685842,-0.518592829,-0.427279484,-1.11144675,-0.184905466,-0.607096445,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_18.tflite,3382,small,TRUE,1,TRUE,TRUE,2.019714355,0.951188931,4.712146226,4.430195556,8.512177966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 19,0.5353,0.6667,0.6167,0.5971,0.2712,0.5624,0.6667,0.0007,-0.092883809,-0.043379531,0.359123726,-0.164005021,-0.831160707,-0.11402388,0.068101292,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_19.tflite,3366,small,TRUE,1.25,TRUE,FALSE,10.35236359,3.797030418,5.4905,3.350530201,13.74389041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 20,0.4312,0.6765,0.45,0.5285,0.2072,0.5449,0.4697,0.0007,-0.514527987,-0.003685842,-0.316074011,-0.441860839,-1.090384793,-0.184905466,-0.729822848,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_20.tflite,3373,small,TRUE,1.25,TRUE,TRUE,2.900527954,1.349553451,5.639578652,4.250268085,12.37348148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
